Year,Term,Course,
2008,summer,CSC100,
2008,summer,CSC105,
2008,summer,CSC110,
2008,summer,CSC115,
2008,summer,CSC167,
2008,summer,CSC225,
2008,summer,CSC230,
2008,summer,CSC305,
2008,summer,CSC320,
2008,summer,CSC360,
2008,summer,CSC370,
2008,summer,CSC450,
2008,summer,CSC485A,
2008,summer,CSC485B,
2008,summer,CSC485C,
2008,summer,CSC485D,
2008,summer,CSC581A,
2008,summer,CSC586B,
2008,summer,CSC586C,
2008,summer,CSC586D,
2008,summer,CSC586E,
2008,summer,CSC598,
2008,summer,CSC599,
2008,summer,CSC699,
2008,summer,SENG265,
2008,summer,SENG271,
2008,summer,SENG310,
2008,summer,SENG321,
2008,summer,SENG330,
2008,summer,SENG401,
2008,summer,SENG422,
2008,summer,SENG426,
2008,summer,SENG440,
2008,summer,SENG480C,
2008,summer,SENG480D,
2008,summer,SENG499,
2008,fall,CSC100,
2008,fall,CSC105,
2008,fall,CSC110,
2008,fall,CSC111,
2008,fall,CSC115,
2008,fall,CSC167,
2008,fall,CSC212,
2008,fall,CSC225,
2008,fall,CSC230,
2008,fall,CSC242,
2008,fall,CSC305,
2008,fall,CSC320,
2008,fall,CSC330,
2008,fall,CSC340,
2008,fall,CSC349A,
2008,fall,CSC355,
2008,fall,CSC360,
2008,fall,CSC361,
2008,fall,CSC370,
2008,fall,CSC375,
2008,fall,CSC425,
2008,fall,CSC428,
2008,fall,CSC435,
2008,fall,CSC446,
2008,fall,CSC449,
2008,fall,CSC460,
2008,fall,CSC482A,
2008,fall,CSC484A,
2008,fall,CSC485A,
2008,fall,CSC485C,
2008,fall,CSC485E,
2008,fall,CSC520,
2008,fall,CSC540,
2008,fall,CSC546,
2008,fall,CSC560,
2008,fall,CSC571,
2008,fall,CSC578A,
2008,fall,CSC582A,
2008,fall,CSC583A,
2008,fall,CSC586C,
2008,fall,CSC589A,
2008,fall,CSC589B,
2008,fall,CSC595,
2008,fall,SENG265,
2008,fall,SENG330,
2008,fall,SENG360,
2008,fall,SENG371,
2008,fall,SENG450,
2008,fall,SENG480A,
2008,fall,SENG480C,
2009,spring,CSC100,
2009,spring,CSC105,
2009,spring,CSC110,
2009,spring,CSC115,
2009,spring,CSC212,
2009,spring,CSC225,
2009,spring,CSC230,
2009,spring,CSC320,
2009,spring,CSC326,
2009,spring,CSC330,
2009,spring,CSC340,
2009,spring,CSC349A,
2009,spring,CSC350,
2009,spring,CSC355,
2009,spring,CSC360,
2009,spring,CSC361,
2009,spring,CSC370,
2009,spring,CSC421,
2009,spring,CSC426,
2009,spring,CSC429,
2009,spring,CSC454,
2009,spring,CSC461,
2009,spring,CSC462,
2009,spring,CSC464,
2009,spring,CSC466,
2009,spring,CSC467,
2009,spring,CSC482B,
2009,spring,CSC485B,
2009,spring,CSC499,
2009,spring,CSC526,
2009,spring,CSC554,
2009,spring,CSC561,
2009,spring,CSC562,
2009,spring,CSC578B,
2009,spring,CSC578C,
2009,spring,CSC582B,
2009,spring,CSC582D,
2009,spring,CSC586A,
2009,spring,CSC586B,
2009,spring,CSC586E,
2009,spring,CSC595,
2009,spring,SENG265,
2009,spring,SENG310,
2009,spring,SENG321,
2009,spring,SENG380,
2009,spring,SENG401,
2009,spring,SENG426,
2009,spring,SENG462,
2009,spring,SENG466,
2009,spring,SENG474,
2009,spring,SENG499,
2009,summer,CSC100,
2009,summer,CSC105,
2009,summer,CSC110,
2009,summer,CSC115,
2009,summer,CSC167,
2009,summer,CSC225,
2009,summer,CSC230,
2009,summer,CSC305,
2009,summer,CSC320,
2009,summer,CSC360,
2009,summer,CSC445,
2009,summer,CSC460,
2009,summer,CSC471,
2009,summer,CSC545,
2009,summer,CSC560,
2009,summer,CSC578A,
2009,summer,CSC582A,
2009,summer,CSC586A,
2009,summer,CSC598,
2009,summer,CSC599,
2009,summer,CSC699,
2009,summer,SENG265,
2009,summer,SENG271,
2009,summer,SENG310,
2009,summer,SENG321,
2009,summer,SENG401,
2009,summer,SENG422,
2009,summer,SENG426,
2009,summer,SENG440,
2009,summer,SENG499,
2009,fall,CSC100,
2009,fall,CSC105,
2009,fall,CSC110,
2009,fall,CSC111,
2009,fall,CSC115,
2009,fall,CSC167,
2009,fall,CSC212,
2009,fall,CSC225,
2009,fall,CSC230,
2009,fall,CSC242,
2009,fall,CSC305,
2009,fall,CSC320,
2009,fall,CSC322,
2009,fall,CSC330,
2009,fall,CSC340,
2009,fall,CSC349A,
2009,fall,CSC355,
2009,fall,CSC360,
2009,fall,CSC361,
2009,fall,CSC370,
2009,fall,CSC375,
2009,fall,CSC429,
2009,fall,CSC435,
2009,fall,CSC446,
2009,fall,CSC462,
2009,fall,CSC475,
2009,fall,CSC523,
2009,fall,CSC528,
2009,fall,CSC546,
2009,fall,CSC551,
2009,fall,CSC562,
2009,fall,CSC571,
2009,fall,CSC595,
2009,fall,CSC598,
2009,fall,CSC599,
2009,fall,CSC699,
2009,fall,SENG265,
2009,fall,SENG330,
2009,fall,SENG360,
2009,fall,SENG435,
2009,fall,SENG450,
2009,fall,SENG460,
2009,fall,SENG461,
2009,fall,SENG480A,
2009,fall,SENG499,
2010,spring,CSC100,
2010,spring,CSC105,
2010,spring,CSC110,
2010,spring,CSC115,
2010,spring,CSC205,
2010,spring,CSC212,
2010,spring,CSC225,
2010,spring,CSC230,
2010,spring,CSC320,
2010,spring,CSC326,
2010,spring,CSC330,
2010,spring,CSC340,
2010,spring,CSC349A,
2010,spring,CSC350,
2010,spring,CSC355,
2010,spring,CSC360,
2010,spring,CSC361,
2010,spring,CSC370,
2010,spring,CSC421,
2010,spring,CSC428,
2010,spring,CSC454,
2010,spring,CSC463,
2010,spring,CSC464,
2010,spring,CSC466,
2010,spring,CSC472,
2010,spring,CSC499,
2010,spring,CSC511,
2010,spring,CSC554,
2010,spring,CSC595,
2010,spring,CSC598,
2010,spring,CSC599,
2010,spring,CSC699,
2010,spring,SENG265,
2010,spring,SENG310,
2010,spring,SENG321,
2010,spring,SENG371,
2010,spring,SENG380,
2010,spring,SENG401,
2010,spring,SENG410,
2010,spring,SENG462,
2010,spring,SENG466,
2010,spring,SENG474,
2010,spring,SENG499,
2010,summer,CSC100,
2010,summer,CSC110,
2010,summer,CSC115,
2010,summer,CSC225,
2010,summer,CSC230,
2010,summer,CSC305,
2010,summer,CSC320,
2010,summer,CSC360,
2010,summer,CSC460,
2010,summer,CSC471,
2010,summer,CSC522,
2010,summer,CSC560,
2010,summer,CSC599,
2010,summer,CSC699,
2010,summer,SENG265,
2010,summer,SENG271,
2010,summer,SENG310,
