CourseOffering,Predicted,term,year,Course,Actual,Error,AbsError,AbsPercentError
CSC2262014-2,65.64,2,2014,CSC226,55,10.64,10.64,0.19345454545454546
CSC2262015-3,72.33,3,2015,CSC226,86,-13.670000000000002,13.670000000000002,0.15895348837209305
CSC2262016-1,81.06,1,2016,CSC226,69,12.060000000000002,12.060000000000002,0.1747826086956522
CSC2262016-2,95.26,2,2016,CSC226,116,-20.739999999999995,20.739999999999995,0.17879310344827581
CSC2262017-3,118.66,3,2017,CSC226,161,-42.34,42.34,0.26298136645962733
CSC2262017-1,76.42,1,2017,CSC226,68,8.420000000000002,8.420000000000002,0.12382352941176474
CSC2262019-3,143.79,3,2019,CSC226,187,-43.21000000000001,43.21000000000001,0.23106951871657758
CSC2262019-1,74.16,1,2019,CSC226,91,-16.840000000000003,16.840000000000003,0.1850549450549451
CSC2262020-1,82.46,1,2020,CSC226,135,-52.540000000000006,52.540000000000006,0.38918518518518525
CSC2262020-2,152.69,2,2020,CSC226,122,30.689999999999998,30.689999999999998,0.2515573770491803
CSC2262021-3,159.86,3,2021,CSC226,157,2.8600000000000136,2.8600000000000136,0.01821656050955423
CSC2262022-3,156.45,3,2022,CSC226,172,-15.550000000000011,15.550000000000011,0.09040697674418612
CSC2262022-1,118.49,1,2022,CSC226,94,24.489999999999995,24.489999999999995,0.260531914893617
